Pitch,Intensity,Duration,Spectral_Centroid,Spectral_Bandwidth
4.4510946,0.06939832,3.236125,2020.1641076737235,2040.6054626190094
41.128212,0.03999098,1.948125,1955.8581726446237,1995.577077862941
62.761093,0.031929623,1.948125,2993.9495958681573,2299.374926782551
17.75176,0.009893883,7.708125,2308.2282327174025,2282.8510598174707
32.841793,0.101289675,5.812125,2824.0538305637256,2218.425283339798
16.266485,0.045127492,4.660125,1966.36004405195,1835.7199519767191
81.23269,0.005734263,4.684125,2991.734254455973,2504.903696017694
43.776676,0.03196517,2.636125,2630.128793639026,2540.2253043080796
32.222584,0.09588791,6.268125,2375.812166173053,1691.6740980880431
49.38326,0.03443015,4.444125,2056.7493020930947,1751.30552296949
15.148979,0.10967162,4.820125,2211.071890193299,2120.8340228520688
52.42015,0.03447554,4.348125,2167.3429958014713,1912.3976318015923
35.1323,0.067109734,6.172125,1856.340219424799,1468.547101255634
24.240244,0.23181196,3.244125,1869.43178272991,1677.435094085391
28.286417,0.028359788,2.324125,2319.9098211611727,2202.675577484527
56.296764,0.032946557,4.588125,2373.4441983949723,1764.8997920342883
35.179543,0.011991015,2.852125,2638.0732062473667,2255.5838079952873
38.934895,0.033538043,4.540125,2575.0506552815673,1992.651375347826
49.423096,0.021841634,3.052125,2464.1051364655123,1863.2960636506702
16.092037,0.015861906,5.140125,2721.718907326002,2411.9987755698758
34.928898,0.04205225,5.644125,1677.0533463185598,1459.5199719499412
17.46432,0.024667328,2.468125,2015.599391445384,2257.3819170955576
33.90144,0.015074272,4.060125,2228.2617890258275,1984.9382573282337
5.622211,0.024785543,5.932125,1186.9087866062196,1308.7027471387491
76.953476,0.0076031596,1.916125,3240.094537169479,2742.869736098761
33.5841,0.014225106,3.820125,2674.275707205117,2594.90261185826
63.198338,0.020045003,3.692125,2362.670301540216,2269.902167402434
33.735146,0.02019561,4.684125,1821.4099020368672,1820.2111719761235
15.196583,0.011076657,3.820125,1297.3784247225024,1000.6449635986279
16.664518,0.026518384,2.908125,1859.4811672364885,1575.6093585414442
14.511471,0.04138192,2.708125,2411.503650006306,2368.3106191306056
21.554573,0.22742791,4.132125,2603.814917102677,2491.967640627141
11.199274,0.024120187,4.196125,1931.0623099317731,2313.5000200397644
68.99538,0.0011105058,4.780125,3194.597139498845,2528.8036241831505
35.820065,0.02725734,2.500125,1890.2730495427531,2049.9829871736943
77.82019,0.003318117,3.268125,3270.0297926626754,2270.3828618341045
30.112082,0.0050171237,3.484125,2510.741936064996,1938.6057530885369
16.093641,0.06676928,4.108125,1239.7977069298836,992.249384195242
123.526344,0.03222353,2.020125,2899.1509534725583,2083.960663857925
23.614212,0.0022101926,7.540125,2135.9811523486796,1943.5004398213707
31.069645,0.00874764,6.028125,2475.411666181417,2632.9854070437864
58.29314,0.029270679,2.620125,2368.266293702918,1652.7618692537521
72.432594,0.016642394,2.764125,2333.5899496606226,1855.1055932845338
